100
91 2000
0 69 287
0 43 253
0 71 836
0 75 581
0 21 619
0 44 168
0 10 737
0 50 229
0 15 180
0 52 833
0 39 920
0 1 470
0 20 988
0 38 284
0 78 -873
0 24 85
0 6 727
0 68 614
0 25 943
0 18 567
0 16 542
0 64 953
0 34 469
0 9 513
0 11 166
0 90 -461
0 26 307
0 7 414
0 33 -768
0 54 524
0 47 545
0 12 586
0 83 761
0 77 683
0 35 440
0 14 417
0 62 440
0 49 209
0 80 671
0 79 303
0 72 797
0 8 717
0 5 793
0 84 901
0 60 90
0 57 671
0 31 439
0 63 52
0 51 52
0 87 124
0 32 570
0 82 314
0 89 69
0 56 166
0 30 672
0 61 877
0 29 389
0 23 654
0 58 270
0 22 28
0 74 -691
0 41 402
0 59 539
0 85 943
0 55 899
0 70 177
0 4 145
0 17 807
0 81 820
0 67 682
0 13 909
0 65 342
0 3 221
0 27 224
0 88 266
0 48 798
0 2 -611
0 76 496
0 45 730
0 40 82
0 46 228
0 19 978
0 42 669
0 36 812
0 86 976
0 73 456
0 28 447
0 37 770
0 66 874
0 53 748
76 89 941
1 17 574
73 51 -585
36 72 364
31 27 526
20 75 193
83 9 73
50 13 29
19 80 -956
88 67 408
41 56 396
19 78 613
8 13 457
89 25 269
5 0 829
20 3 177
58 35 83
69 54 88
64 11 921
58 31 -50
48 56 17
83 3 -100
8 44 629
11 89 467
66 63 -244
47 67 249
86 31 3
17 56 814
89 40 338
18 50 682
90 6 999
21 20 293
35 37 -578
72 51 798
4 20 457
49 11 331
66 0 19
71 35 644
24 60 104
68 58 25
67 46 523
48 47 913
88 50 105
81 75 942
58 20 141
11 78 -529
67 26 991
50 29 108
58 16 323
60 2 371
38 85 708
58 44 739
34 39 99
22 24 998
4 12 151
52 3 37
64 2 816
54 82 414
84 79 497
4 5 886
33 1 168
11 35 324
37 58 402
18 6 -221
31 5 153
65 72 780
34 27 298
57 27 -445
25 52 867
86 58 769
27 46 656
33 21 732
9 68 453
5 53 701
24 44 965
5 51 637
52 79 881
29 0 532
33 87 599
76 58 541
65 57 556
85 57 359
82 60 621
48 86 655
70 48 560
32 24 619
54 48 75
82 39 504
78 21 363
69 44 296
52 42 478
38 76 896
69 40 261
41 33 562
22 64 352
17 20 412
22 27 142
24 79 413
25 64 152
35 77 -834
16 79 374
55 40 726
32 28 -674
66 12 -532
90 45 365
17 57 761
60 49 947
88 89 775
35 1 716
21 70 -909
59 14 -739
86 72 52
16 3 62
28 34 450
62 60 858
58 30 123
62 17 36
18 76 40
54 13 -581
2 29 -800
16 11 244
83 49 962
10 70 507
33 31 413
38 46 874
83 41 142
34 89 77
67 45 51
42 89 554
3 5 126
34 44 570
1 28 221
16 54 140
45 21 209
35 27 553
2 43 426
31 11 715
35 5 -677
64 22 709
80 81 208
27 12 983
43 0 930
68 62 754
62 30 912
3 23 516
69 79 66
8 66 -141
81 86 20
87 70 159
85 10 983
86 62 779
17 66 857
8 76 734
1 44 970
30 79 104
75 20 632
4 43 -879
66 61 -845
83 14 279
43 78 312
40 55 452
84 62 -3
25 71 -709
17 26 -408
30 7 991
27 60 552
22 37 971
61 8 -165
47 55 227
47 57 622
74 19 -813
16 61 605
30 44 837
67 65 428
36 64 848
43 75 -457
4 73 269
34 24 906
7 9 90
54 84 124
72 41 -945
22 70 -938
44 64 559
52 8 512
2 31 -81
12 73 617
23 33 240
50 20 357
57 25 -265
69 2 938
56 27 84
59 16 314
50 40 901
34 0 880
60 48 -21
2 69 663
22 60 -507
29 28 773
89 87 127
85 62 -235
11 64 429
88 87 888
54 15 -978
54 4 -227
86 0 211
10 32 -659
62 13 249
64 43 586
67 23 982
86 57 -927
72 47 266
77 51 569
80 14 4
63 87 -276
70 27 720
41 42 263
27 57 880
80 8 351
28 54 129
28 62 987
19 60 530
31 12 49
26 36 66
53 48 923
76 45 719
75 72 585
63 47 247
30 45 270
54 21 408
7 62 65
62 8 734
44 4 750
70 68 561
15 60 368
47 52 262
20 10 923
83 82 454
15 79 744
32 26 101
32 86 560
40 4 937
35 33 943
54 60 677
17 49 298
28 31 -215
57 10 984
53 84 30
89 60 184
71 78 332
33 38 684
72 5 976
85 59 720
28 17 675
9 56 345
89 49 -164
62 1 589
89 52 116
62 81 209
45 23 720
73 22 464
64 67 -809
14 55 326
33 0 693
85 40 882
42 54 111
48 19 556
44 20 357
69 51 642
21 41 -66
24 23 793
35 10 291
11 69 277
82 25 748
28 85 336
36 24 0
28 73 625
26 50 756
74 46 333
31 49 375
85 65 -24
31 61 202
63 46 615
47 5 943
90 28 775
16 59 170
63 7 303
89 3 9
50 63 917
77 40 177
22 46 599
25 31 -969
40 58 -107
67 8 535
64 81 583
30 42 930
73 57 929
65 78 892
14 15 415
68 67 295
61 53 851
76 33 272
68 28 882
8 87 432
68 45 675
5 35 481
12 79 379
33 64 138
47 85 613
16 26 519
61 63 574
60 33 447
54 47 -186
44 51 -752
39 12 979
61 77 617
52 32 -623
65 51 423
83 43 -202
19 31 858
31 45 51
53 74 268
26 58 621
51 71 578
52 66 -289
50 71 348
32 45 155
19 46 -998
28 40 295
3 87 458
44 45 470
5 31 -519
44 10 839
10 80 580
41 3 638
54 26 191
11 43 527
41 10 984
78 52 314
33 66 220
81 61 79
81 21 58
77 4 851
68 78 -873
74 44 472
29 39 312
12 8 664
31 48 -635
15 51 -447
18 35 598
13 55 511
89 37 799
79 45 693
87 83 -806
50 88 857
85 71 67
43 64 -562
13 0 -318
10 4 325
89 42 195
34 56 800
46 80 896
70 80 133
61 43 771
1 39 640
41 86 464
71 82 992
7 24 319
68 59 33
44 41 383
74 25 141
76 77 289
36 80 375
67 15 837
1 86 950
70 53 341
17 7 167
61 84 -85
29 55 840
82 2 946
82 36 389
89 16 631
88 48 220
75 86 291
65 86 85
2 46 273
80 19 641
69 68 437
66 80 795
2 65 506
43 49 850
63 17 364
70 17 217
74 20 913
52 16 -40
16 31 -169
88 42 -733
23 55 424
55 46 790
49 65 996
10 11 390
39 3 483
40 62 537
3 34 922
18 80 289
66 71 -302
89 1 -33
79 22 594
46 8 691
68 40 427
11 5 -663
8 46 -538
22 74 -494
25 55 228
65 32 955
61 34 206
28 19 -352
10 79 66
70 59 944
50 82 -305
45 8 552
30 87 618
41 4 485
14 65 367
31 64 72
43 77 788
31 36 288
43 87 563
85 55 9
50 85 955
33 26 -472
52 73 234
78 71 188
41 35 704
29 87 777
12 89 477
57 62 712
75 23 -783
79 50 944
6 32 800
70 18 898
90 15 883
53 49 -413
23 65 10
28 1 679
42 52 10
63 54 180
31 85 416
65 17 556
17 80 586
42 50 26
27 89 667
82 0 886
74 32 644
49 32 -323
32 78 645
80 69 -944
86 68 129
47 34 686
58 34 -707
13 74 201
53 5 -31
52 2 26
32 33 544
13 87 131
23 14 491
70 62 19
42 86 170
58 8 -989
42 20 529
86 17 -739
3 13 855
44 1 -142
29 78 -912
62 55 651
80 89 424
61 54 406
6 64 505
62 84 232
25 10 -619
76 82 796
57 78 931
64 8 383
47 42 -660
37 34 -921
14 31 676
68 31 727
79 5 -706
33 88 -713
54 62 388
66 43 843
56 37 140
90 62 218
1 43 946
85 44 -718
22 6 626
52 15 243
50 69 148
7 16 612
45 33 -361
37 10 724
14 28 968
22 52 -499
37 18 981
89 76 216
29 48 595
12 57 595
32 36 711
78 37 -725
58 88 514
76 59 69
21 44 978
55 74 642
51 40 101
29 56 922
37 64 124
34 86 214
47 70 152
